,Aracaju,Belém,Belo Horizonte,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,R. Janeiro,Salvador,São Luis,São Paulo,Teresina,Vitória
Aracaju,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,
Belém,,1,,,,,,,,,,,1,,1,,,,,,,,,1,,,
B. Horizonte,,,1,,1,,,,,,,,,,,,,,,,,1,,,1,,
Boa Vista,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
Brasília,,,1,,1,,,,,,1,,,,1,,1,,,,,,1,,1,,
C. Grande,,,,,,1,1,,,,1,,,,,,,1,,,,,,,1,,
Cuiabá,,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,
Curitiba,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,
Florianópolis,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,
Fortaleza,,,,,,,,,,1,1,,,,,1,,,,,,,1,,,1,
Goiânia,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,
João Pessoa,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,
Macapá,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
Maceió,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,
Manaus,,1,,1,1,,,,,,,,,,1,,,,1,,1,,,,,,
Natal,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,
Palmas,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,
Porto Alegre,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,
Porto Velho,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,
Recife,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,
Rio Branco,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
R. Janeiro,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1
Salvador,1,,,,1,,,,,1,,,,,,,,,,,,,1,,,1,1
São Luis,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,
São Paulo,,,1,,1,1,,1,,,1,,,,,,,,,,,1,,,,,
Teresina,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,
Vitória,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,1
